,position,points,constructor_id,nationality,year
0,1,48,vanwall,British,1958
1,2,40,ferrari,Italian,1958
2,3,31,cooper,British,1958
3,4,18,brm,British,1958
4,5,6,maserati,Italian,1958
5,6,3,team_lotus,British,1958
6,7,0,porsche,German,1958
7,8,0,connaught,British,1958
8,9,0,osca,Italian,1958
9,1,40,cooper-climax,British,1959
10,2,32,ferrari,Italian,1959
11,3,18,brm,British,1959
12,4,5,team_lotus,British,1959
13,5,0,aston_martin,British,1959
14,6,0,cooper-maserati,British,1959
15,7,0,kurtis_kraft,American,1959
16,8,0,porsche,German,1959
17,9,0,maserati,Italian,1959
18,10,0,cooper-borgward,British,1959
19,11,0,cooper-osca,British,1959
20,12,0,tec-mec,Italian,1959
21,13,0,connaught,British,1959
22,14,0,jbw,British,1959
23,15,0,vanwall,British,1959
24,16,0,fry,British,1959
25,1,48,cooper-climax,British,1960
26,2,34,team_lotus,British,1960
27,3,26,ferrari,Italian,1960
28,4,8,brm,British,1960
29,5,3,cooper-maserati,British,1960
30,6,3,cooper-castellotti,British,1960
31,7,1,porsche,German,1960
32,8,0,behra-porsche,Italian,1960
33,9,0,scarab,American,1960
34,10,0,aston_martin,British,1960
35,11,0,maserati,Italian,1960
36,12,0,jbw,British,1960
37,13,0,vanwall,British,1960
38,1,45,ferrari,Italian,1961
39,2,35,lotus-climax,British,1961
40,3,22,porsche,German,1961
41,4,14,cooper-climax,British,1961
42,5,7,brm,British,1961
43,6,0,cooper-maserati,British,1961
44,7,0,gilby,British,1961
45,8,0,lotus-maserati,British,1961
46,9,0,de_tomaso-alfa_romeo,Italian,1961
47,10,0,emeryson,British,1961
48,11,0,de_tomaso-osca,Italian,1961
49,12,0,jbw,British,1961
50,13,0,mbm,Swiss,1961
51,1,42,brm,British,1962
52,2,36,lotus-climax,British,1962
53,3,29,cooper-climax,British,1962
54,4,19,lola,British,1962
55,5,18,porsche,German,1962
56,6,18,ferrari,Italian,1962
57,7,6,brabham,British,1962
58,8,1,lotus-brm,British,1962
59,9,0,emeryson,British,1962
60,10,0,enb,Belgian,1962
61,11,0,cooper,British,1962
62,12,0,lds,South African,1962
63,13,0,cooper-alfa_romeo,British,1962
64,14,0,team_lotus,British,1962
65,15,0,gilby,British,1962
66,16,0,de_tomaso-alfa_romeo,Italian,1962
67,17,0,de_tomaso-osca,Italian,1962
68,18,0,tomaso,Italian,1962
69,19,0,lotus-borgward,British,1962
70,1,54,lotus-climax,British,1963
71,2,36,brm,British,1963
72,3,28,brabham,British,1963
73,4,26,ferrari,Italian,1963
74,5,25,cooper-climax,British,1963
75,6,6,brp,British,1963
76,7,5,porsche,German,1963
77,8,4,lotus-brm,British,1963
78,9,0,lola,British,1963
79,10,0,stebro,Canadian,1963
80,11,0,scirocco,British,1963
81,12,0,ats,Italian,1963
82,13,0,lds,South African,1963
83,14,0,cooper-maserati,British,1963
84,15,0,lotus-ford,British,1963
85,16,0,alfa,Swiss,1963
86,17,0,gilby,British,1963
87,18,0,tomaso,Italian,1963
88,19,0,team_lotus,British,1963
89,20,0,lotus-borgward,British,1963
90,21,0,de_tomaso-ferrari,Italian,1963
91,22,0,lotus-maserati,British,1963
92,1,45,ferrari,Italian,1964
93,2,42,brm,British,1964
94,3,37,lotus-climax,British,1964
95,4,30,brabham-climax,British,1964
96,5,16,cooper-climax,British,1964
97,6,7,brabham-brm,British,1964
98,7,5,brp,British,1964
99,8,3,lotus-brm,British,1964
100,9,0,honda,Japanese,1964
101,10,0,scirocco,British,1964
102,11,0,derrington,British,1964
103,12,0,porsche,German,1964
104,13,0,brabham-ford,British,1964
105,1,54,lotus-climax,British,1965
106,2,45,brm,British,1965
107,3,27,brabham-climax,British,1965
108,4,26,ferrari,Italian,1965
109,5,14,cooper-climax,British,1965
110,6,11,honda,Japanese,1965
111,7,5,brabham-brm,British,1965
112,8,2,lotus-brm,British,1965
113,9,0,brabham-ford,British,1965
114,10,0,alfa,Swiss,1965
