,position,points,driver_id,dateOfBirth,nationality,year
0,1,30,farina,1906-10-30,Italian,1950
1,2,27,fangio,1911-06-24,Argentine,1950
2,3,24,fagioli,1898-06-09,Italian,1950
3,4,13,rosier,1905-11-05,French,1950
4,5,11,ascari,1918-07-13,Italian,1950
5,6,9,parsons,1918-07-04,American,1950
6,7,6,holland,1907-12-18,American,1950
7,8,5,bira,1914-07-15,Thai,1950
8,9,4,whitehead,1914-11-12,British,1950
9,10,4,chiron,1899-08-03,Monegasque,1950
10,11,4,reg_parnell,1911-07-02,British,1950
11,12,4,rose,1906-05-26,American,1950
12,13,3,serafini,1909-07-22,Italian,1950
13,14,3,cabantous,1904-10-08,French,1950
14,15,3,sommer,1906-08-31,French,1950
15,16,3,manzon,1917-04-12,French,1950
16,17,3,green,1919-09-30,American,1950
17,18,3,etancelin,1896-12-28,French,1950
18,19,2,bonetto,1903-06-09,Italian,1950
19,20,1,chaboud,1907-04-12,French,1950
20,21,1,bettenhausen,1916-09-12,American,1950
21,22,1,chitwood,1912-04-14,American,1950
22,23,0,graffenried,1914-05-18,Swiss,1950
23,24,0,gerard,1914-01-19,British,1950
24,25,0,villoresi,1909-05-16,Italian,1950
25,26,0,pozzi,1909-08-27,French,1950
26,27,0,wallard,1910-09-07,American,1950
27,28,0,claes,1916-08-11,Belgian,1950
28,29,0,levegh,1905-12-22,French,1950
29,30,0,harrison,1906-07-06,British,1950
30,1,31,fangio,1911-06-24,Argentine,1951
31,2,25,ascari,1918-07-13,Italian,1951
32,3,24,gonzalez,1922-10-05,Argentine,1951
33,4,19,farina,1906-10-30,Italian,1951
34,5,15,villoresi,1909-05-16,Italian,1951
35,6,10,taruffi,1906-10-12,Italian,1951
36,7,9,wallard,1910-09-07,American,1951
37,8,7,bonetto,1903-06-09,Italian,1951
38,9,6,nazaruk,1921-10-02,American,1951
39,10,5,reg_parnell,1911-07-02,British,1951
40,11,4,fagioli,1898-06-09,Italian,1951
41,12,3,sanesi,1911-03-28,Italian,1951
42,13,3,rosier,1905-11-05,French,1951
43,14,3,linden,1922-04-05,American,1951
44,15,2,mcgrath,1919-10-08,American,1951
45,16,2,graffenried,1914-05-18,Swiss,1951
46,17,2,cabantous,1904-10-08,French,1951
47,18,2,ball,1925-08-26,American,1951
48,19,2,ayulo,1921-10-20,American,1951
49,20,0,chiron,1899-08-03,Monegasque,1951
50,21,0,fischer,1912-04-19,Swiss,1951
51,22,0,simon,1920-01-05,French,1951
52,23,0,banks,1913-06-14,American,1951
53,24,0,andre_pilette,1918-10-06,Belgian,1951
54,25,0,manzon,1917-04-12,French,1951
55,26,0,claes,1916-08-11,Belgian,1951
56,27,0,forberg,1911-03-04,American,1951
57,28,0,peter_walker,1912-10-07,British,1951
58,29,0,levegh,1905-12-22,French,1951
59,30,0,etancelin,1896-12-28,French,1951
60,1,36,ascari,1918-07-13,Italian,1952
61,2,24,farina,1906-10-30,Italian,1952
62,3,22,taruffi,1906-10-12,Italian,1952
63,4,10,fischer,1912-04-19,Swiss,1952
64,5,10,hawthorn,1929-04-10,British,1952
65,6,9,manzon,1917-04-12,French,1952
66,7,8,ruttman,1930-03-11,American,1952
67,8,8,villoresi,1909-05-16,Italian,1952
68,9,6.5,gonzalez,1922-10-05,Argentine,1952
69,10,6,rathmann,1928-07-16,American,1952
70,11,6,behra,1921-02-16,French,1952
71,12,4,hanks,1914-07-13,American,1952
72,13,3,wharton,1916-03-21,British,1952
73,14,3,poore,1916-08-19,British,1952
74,15,3,darter,1913-05-05,American,1952
75,16,2,alan_brown,1919-11-20,British,1952
76,17,2,trintignant,1917-10-30,French,1952
77,18,2,frere,1917-01-30,Belgian,1952
78,19,2,bonetto,1903-06-09,Italian,1952
79,20,2,cross,1918-01-24,American,1952
80,21,2,thompson,1919-11-04,British,1952
81,22,1,vukovich,1918-12-13,American,1952
82,23,0,laurent,1913-02-21,Belgian,1952
83,24,0,graffenried,1914-05-18,Swiss,1952
84,25,0,simon,1920-01-05,French,1952
85,26,0,collins,1931-11-06,British,1952
86,27,0,bryan,1926-01-28,American,1952
87,28,0,hirt,1910-03-30,Swiss,1952
88,29,0,tornaco,1927-06-07,Belgian,1952
89,30,0,duncan_hamilton,1920-04-30,British,1952
90,1,34.5,ascari,1918-07-13,Italian,1953
91,2,28,fangio,1911-06-24,Argentine,1953
92,3,26,farina,1906-10-30,Italian,1953
93,4,19,hawthorn,1929-04-10,British,1953
94,5,17,villoresi,1909-05-16,Italian,1953
95,6,13.5,gonzalez,1922-10-05,Argentine,1953
96,7,9,vukovich,1918-12-13,American,1953
97,8,7,graffenried,1914-05-18,Swiss,1953
98,9,6.5,bonetto,1903-06-09,Italian,1953
99,10,6,cross,1918-01-24,American,1953
100,11,4,marimon,1923-12-19,Argentine,1953
101,12,4,trintignant,1917-10-30,French,1953
102,13,2,darter,1913-05-05,American,1953
103,14,2,hanks,1914-07-13,American,1953
104,15,2,galvez,1913-08-17,Argentine,1953
105,16,2,lang,1909-04-06,German,1953
106,17,2,mcgrath,1919-10-08,American,1953
107,18,1.5,paul_russo,1914-04-10,American,1953
108,19,1.5,agabashian,1913-08-21,American,1953
109,20,0,moss,1929-09-17,British,1953
110,21,0,behra,1921-02-16,French,1953
111,22,0,mieres,1924-12-03,Argentine,1953
112,23,0,daywalt,1924-08-28,American,1953
113,24,0,schell,1921-06-29,American,1953
114,25,0,rosier,1905-11-05,French,1953
115,26,0,wharton,1916-03-21,British,1953
116,27,0,bira,1914-07-15,Thai,1953
117,28,0,rathmann,1928-07-16,American,1953
118,29,0,swaters,1926-10-30,American,1953
119,30,0,johnson,1919-02-10,American,1953
120,1,42,fangio,1911-06-24,Argentine,1954
121,2,25.14,gonzalez,1922-10-05,Argentine,1954
122,3,24.64,hawthorn,1929-04-10,British,1954
123,4,17,trintignant,1917-10-30,French,1954
124,5,12,kling,1910-09-16,German,1954
125,6,8,vukovich,1918-12-13,American,1954
126,7,8,herrmann,1928-02-23,German,1954
127,8,6,farina,1906-10-30,Italian,1954
128,9,6,musso,1924-07-28,Italian,1954
129,10,6,bryan,1926-01-28,American,1954
130,11,6,mieres,1924-12-03,Argentine,1954
131,12,5,mcgrath,1919-10-08,American,1954
132,13,4.14,marimon,1923-12-19,Argentine,1954
133,14,4,manzon,1917-04-12,French,1954
134,15,4,moss,1929-09-17,British,1954
135,16,4,mantovani,1929-05-22,Italian,1954
136,17,3,bira,1914-07-15,Thai,1954
137,18,2,maglioli,1928-06-05,Italian,1954
138,19,2,andre_pilette,1918-10-06,Belgian,1954
139,20,2,villoresi,1909-05-16,Italian,1954
140,21,2,bayol,1914-02-28,French,1954
141,22,2,nazaruk,1921-10-02,American,1954
142,23,1.5,darter,1913-05-05,American,1954
143,24,1.5,ruttman,1930-03-11,American,1954
144,25,1,ascari,1918-07-13,Italian,1954
145,26,0,schell,1921-06-29,American,1954
146,27,0,wharton,1916-03-21,British,1954
147,28,0,behra,1921-02-16,French,1954
148,29,0,wacker,1918-07-10,American,1954
149,30,0,agabashian,1913-08-21,American,1954
150,1,40,fangio,1911-06-24,Argentine,1955
151,2,23,moss,1929-09-17,British,1955
152,3,12,castellotti,1930-10-10,Italian,1955
153,4,11.33,trintignant,1917-10-30,French,1955
154,5,10.33,farina,1906-10-30,Italian,1955
155,6,9,taruffi,1906-10-12,Italian,1955
156,7,8,sweikert,1926-05-20,American,1955
157,8,7,mieres,1924-12-03,Argentine,1955
158,9,6,behra,1921-02-16,French,1955
159,10,6,musso,1924-07-28,Italian,1955
160,11,5,kling,1910-09-16,German,1955
161,12,4,davies,1929-08-08,American,1955
162,13,3,bettenhausen,1916-09-12,American,1955
163,14,3,paul_russo,1914-04-10,American,1955
164,15,3,frere,1917-01-30,Belgian,1955
165,16,3,thomson,1922-04-09,American,1955
166,17,2,gonzalez,1922-10-05,Argentine,1955
167,18,2,perdisa,1932-10-21,Italian,1955
168,19,2,menditeguy,1914-08-10,Argentine,1955
169,20,2,villoresi,1909-05-16,Italian,1955
170,21,1.33,maglioli,1928-06-05,Italian,1955
171,22,1,herrmann,1928-02-23,German,1955
172,23,1,faulkner,1920-02-16,American,1955
173,24,1,homeier,1918-08-31,American,1955
174,25,1,vukovich,1918-12-13,American,1955
175,26,0,schell,1921-06-29,American,1955
176,27,0,hawthorn,1929-04-10,British,1955
177,28,0,chiron,1899-08-03,Monegasque,1955
178,29,0,linden,1922-04-05,American,1955
179,30,0,pollet,1922-07-02,French,1955
180,1,30,fangio,1911-06-24,Argentine,1956
181,2,27,moss,1929-09-17,British,1956
182,3,25,collins,1931-11-06,British,1956
183,4,22,behra,1921-02-16,French,1956
184,5,8,flaherty,1926-01-06,American,1956
185,6,7.5,castellotti,1930-10-10,Italian,1956
186,7,6,frere,1917-01-30,Belgian,1956
187,8,6,hanks,1914-07-13,American,1956
188,9,6,godia,1921-03-21,Spanish,1956
189,10,5,fairman,1913-03-15,British,1956
190,11,4,musso,1924-07-28,Italian,1956
191,12,4,hawthorn,1929-04-10,British,1956
192,13,4,flockhart,1923-06-16,British,1956
193,14,4,freeland,1925-03-25,American,1956
194,15,3,portago,1928-10-11,Spanish,1956
195,16,3,perdisa,1932-10-21,Italian,1956
196,17,3,schell,1921-06-29,American,1956
197,18,3,parsons,1918-07-04,American,1956
198,19,2,rosier,1905-11-05,French,1956
199,20,2,villoresi,1909-05-16,Italian,1956
200,21,2,ramos,1925-12-07,Brazilian,1956
201,22,2,gould,1918-09-20,British,1956
202,23,2,gendebien,1924-01-12,Belgian,1956
203,24,2,dick_rathmann,1924-01-06,American,1956
204,25,1.5,gerini,1928-08-10,Italian,1956
205,26,1.5,landi,1907-07-14,Brazilian,1956
206,27,1,paul_russo,1914-04-10,American,1956
207,28,0,andre_pilette,1918-10-06,Belgian,1956
208,29,0,piotti,1913-10-27,Italian,1956
209,30,0,bayol,1914-02-28,French,1956
210,1,40,fangio,1911-06-24,Argentine,1957
211,2,25,moss,1929-09-17,British,1957
212,3,16,musso,1924-07-28,Italian,1957
213,4,13,hawthorn,1929-04-10,British,1957
214,5,11,brooks,1932-02-25,British,1957
215,6,10,gregory,1932-02-29,American,1957
216,7,10,schell,1921-06-29,American,1957
217,8,8,hanks,1914-07-13,American,1957
218,9,8,collins,1931-11-06,British,1957
219,10,7,rathmann,1928-07-16,American,1957
220,11,6,behra,1921-02-16,French,1957
221,12,5,lewis-evans,1930-04-20,British,1957
222,13,5,trintignant,1917-10-30,French,1957
223,14,4,trips,1928-05-04,German,1957
224,15,4,menditeguy,1914-08-10,Argentine,1957
225,16,4,bryan,1926-01-28,American,1957
226,17,3,paul_russo,1914-04-10,American,1957
227,18,2,salvadori,1922-05-12,British,1957
228,19,2,linden,1922-04-05,American,1957
229,20,1,scarlatti,1921-10-02,Italian,1957
230,21,1,portago,1928-10-11,Spanish,1957
231,22,1,gonzalez,1922-10-05,Argentine,1957
232,23,0,jack_brabham,1926-04-02,Australian,1957
233,24,0,boyd,1926-08-19,American,1957
234,25,0,gerard,1914-01-19,British,1957
235,26,0,perdisa,1932-10-21,Italian,1957
236,27,0,bonnier,1930-01-31,Swedish,1957
237,28,0,macdowel,1932-09-13,British,1957
238,29,0,teague,1921-02-22,American,1957
239,30,0,bueb,1923-06-06,British,1957
240,1,42,hawthorn,1929-04-10,British,1958
241,2,41,moss,1929-09-17,British,1958
242,3,24,brooks,1932-02-25,British,1958
243,4,15,salvadori,1922-05-12,British,1958
244,5,14,collins,1931-11-06,British,1958
245,6,14,schell,1921-06-29,American,1958
246,7,12,trintignant,1917-10-30,French,1958
247,8,12,musso,1924-07-28,Italian,1958
248,9,11,lewis-evans,1930-04-20,British,1958
249,10,9,phil_hill,1927-04-20,American,1958
250,11,9,trips,1928-05-04,German,1958
251,12,9,behra,1921-02-16,French,1958
252,13,8,bryan,1926-01-28,American,1958
253,14,7,fangio,1911-06-24,Argentine,1958
254,15,6,george_amick,1924-10-24,American,1958
255,16,4,boyd,1926-08-19,American,1958
256,17,4,bettenhausen,1916-09-12,American,1958
257,18,3,jack_brabham,1926-04-02,Australian,1958
258,19,3,allison,1932-02-08,British,1958
259,20,3,bonnier,1930-01-31,Swedish,1958
260,21,2,rathmann,1928-07-16,American,1958
261,22,0,gregory,1932-02-29,American,1958
262,23,0,shelby,1923-01-11,American,1958
263,24,0,mclaren,1937-08-30,New Zealander,1958
264,25,0,hill,1929-02-15,British,1958
265,26,0,gendebien,1924-01-12,Belgian,1958
