,year,average_gaps,average_position_change,winner_drivers_gini,winner_constructors_gini
0,1950,,19.142857142857142,0.8095238095238095,0.6428571428571428
1,1951,63.21,14.25,0.8333333333333334,0.75
2,1952,,13.5,0.5833333333333333,0.625
3,1953,,15.11111111111111,0.6444444444444444,0.5555555555555556
4,1954,,23.666666666666668,0.5833333333333333,0.75
5,1955,45.27297619047619,18.571428571428573,0.6785714285714286,0.6190476190476191
6,1956,,30.125,0.8125,0.6666666666666667
7,1957,55.66677083333333,21.0,0.75,0.75
8,1958,69.01030303030304,20.09090909090909,0.6818181818181819,0.6590909090909092
9,1959,,14.333333333333334,0.8333333333333334,0.6388888888888888
10,1960,45.85991666666666,20.8,0.64,0.6
11,1961,22.519791666666666,18.0,0.85,0.875
12,1962,,18.444444444444443,0.6944444444444444,0.6944444444444444
13,1963,,15.2,0.6,0.6
14,1964,,18.9,0.84,0.9
15,1965,36.775666666666666,12.7,0.6,0.6666666666666667
16,1966,,15.666666666666666,0.6888888888888889,0.6888888888888889
17,1967,,19.636363636363637,0.7121212121212122,0.6727272727272728
18,1968,,26.5,0.7380952380952381,0.75
19,1969,,17.09090909090909,0.6000000000000001,0.6590909090909092
20,1970,,22.23076923076923,0.6483516483516483,0.6
21,1971,20.278401515151515,19.181818181818183,0.6212121212121212,0.696969696969697
22,1972,22.113520833333336,20.166666666666668,0.6333333333333333,0.6333333333333333
23,1973,20.633005555555556,19.133333333333333,0.7333333333333334,0.8222222222222222
24,1974,18.348927777777778,18.066666666666666,0.7904761904761904,0.8933333333333333
25,1975,,23.357142857142858,0.6984126984126984,0.6190476190476191
26,1976,,18.9375,0.5892857142857143,0.5833333333333333
27,1977,17.47952450980392,22.647058823529413,0.7132352941176471,0.7156862745098039
28,1978,18.607067708302083,23.5625,0.6458333333333333,0.625
29,1979,21.55883888888889,18.866666666666667,0.7142857142857143,0.7166666666666667
30,1980,23.626630952380953,22.142857142857142,0.653061224489796,0.7857142857142857
31,1981,22.0605,21.733333333333334,0.8476190476190476,0.7888888888888889
32,1982,,23.875,0.8295454545454546,0.6964285714285714
33,1983,22.09803888888889,26.533333333333335,0.6916666666666667,0.7
34,1984,27.95090625,24.375,0.6,0.46875
35,1985,,24.125,0.71875,0.7
36,1986,,17.25,0.75,0.59375
37,1987,34.831833333333336,18.6875,0.775,0.65625
38,1988,22.420369791666666,12.625,0.7083333333333333,0.5625
39,1989,24.971989583333333,23.0625,0.6458333333333333,0.5625
40,1990,14.823145833333333,13.5625,0.6041666666666667,0.75
41,1991,17.092723958333334,14.1875,0.6,0.7083333333333333
42,1992,23.932156250000002,13.6875,0.55,0.625
43,1993,32.0664218749375,13.375,0.6875,0.625
44,1994,,18.6875,0.59375,0.7083333333333333
45,1995,,16.941176470588236,0.5529411764705883,0.607843137254902
46,1996,19.155255208333333,12.0,0.65625,0.5416666666666667
47,1997,11.03706862745098,17.11764705882353,0.5784313725490196,0.6617647058823529
48,1998,15.76575,12.3125,0.59375,0.6666666666666667
49,1999,11.3735624999375,14.3125,0.7291666666666667,0.65625
50,2000,15.601642156862745,13.588235294117647,0.6323529411764706,0.9117647058823529
51,2001,15.73614705882353,14.294117647058824,0.6,0.803921568627451
52,2002,16.40118137254902,12.411764705882353,0.5147058823529411,0.4509803921568627
53,2003,12.937114583333333,15.8125,0.65625,0.575
54,2004,11.695486111097221,11.277777777777779,0.4444444444444444,0.41666666666666663
55,2005,12.869381578947369,19.94736842105263,0.6210526315789473,0.6842105263157895
56,2006,10.40400462962963,13.61111111111111,0.6,0.7037037037037037
57,2007,13.657514705882353,10.176470588235293,0.8676470588235294,0.9705882352941176
58,2008,9.166819444444444,14.555555555555555,0.6190476190476191,0.5777777777777777
59,2009,7.865661764705883,13.823529411764707,0.696078431372549,0.6323529411764706
60,2010,8.3085,8.31578947368421,0.8315789473684211,0.8596491228070176
61,2011,10.535350877192982,9.68421052631579,0.5368421052631579,0.6140350877192983
62,2012,7.2495125,16.05,0.6875,0.5833333333333333
63,2013,9.211486842105263,12.0,0.4736842105263158,0.513157894736842
64,2014,11.447083333333333,13.105263157894736,0.7192982456140351,0.6578947368421053
65,2015,12.109100877192983,9.210526315789474,0.7543859649122807,0.6578947368421053
66,2016,12.676440476190479,9.142857142857142,0.5833333333333333,0.5952380952380952
67,2017,10.986529166654167,11.05,0.62,0.7
68,2018,9.53097619047619,9.952380952380953,0.5619047619047619,0.7777777777777778
69,2019,11.003702380952381,10.238095238095237,0.5809523809523809,0.6190476190476191
70,2020,9.755833333333333,11.411764705882353,0.5058823529411764,0.4558823529411765
71,2021,12.673003787878788,11.045454545454545,0.5,0.5681818181818181
72,2022,8.896443181818182,12.227272727272727,0.4545454545454546,0.5151515151515151
73,2023,8.477136363636363,12.318181818181818,0.4545454545454546,0.5454545454545454
74,2024,,9.458333333333334,0.6904761904761905,0.8333333333333334
