,Month,DayofMonth,DayOfWeek,Reporting_Airline,Flight_Number_Reporting_Airline,DepTime,DepDelay,ArrTime,ArrDelay
0,2,1,6,AA,1,654.0,-5.0,957.0,-31.0
1,2,2,7,AA,1,654.0,-5.0,1022.0,-6.0
2,2,3,1,AA,1,650.0,-9.0,957.0,-31.0
3,2,4,2,AA,1,658.0,-1.0,1014.0,-14.0
4,2,5,3,AA,1,648.0,-11.0,1054.0,26.0
5,2,6,4,AA,1,650.0,-9.0,1118.0,50.0
6,2,7,5,AA,1,649.0,-10.0,1036.0,8.0
7,2,8,6,AA,1,648.0,-11.0,1008.0,-20.0
9,2,10,1,AA,1,732.0,33.0,1127.0,59.0
10,2,11,2,AA,1,655.0,-4.0,1101.0,33.0
11,2,12,3,AA,1,655.0,-4.0,1135.0,67.0
12,2,13,4,AA,1,654.0,-5.0,1021.0,-7.0
13,2,14,5,AA,1,653.0,-6.0,1023.0,-5.0
14,2,15,6,AA,1,655.0,-4.0,1022.0,-6.0
15,2,16,7,AA,1,700.0,1.0,1042.0,14.0
16,2,17,1,AA,1,654.0,-5.0,1105.0,37.0
17,2,18,2,AA,1,656.0,-3.0,1036.0,8.0
18,2,19,3,AA,1,652.0,-7.0,1020.0,-8.0
19,2,20,4,AA,1,655.0,-4.0,1018.0,-10.0
20,2,21,5,AA,1,655.0,-4.0,946.0,-42.0
21,2,22,6,AA,1,658.0,-1.0,951.0,-37.0
22,2,23,7,AA,1,654.0,-5.0,948.0,-40.0
23,2,24,1,AA,1,647.0,-12.0,946.0,-42.0
24,2,25,2,AA,1,658.0,-1.0,1010.0,-18.0
25,2,26,3,AA,1,704.0,5.0,1022.0,-6.0
26,2,27,4,AA,1,657.0,-2.0,940.0,-48.0
27,2,28,5,AA,1,653.0,-6.0,957.0,-31.0
28,2,1,6,AA,3,1052.0,-7.0,1343.0,-46.0
29,2,2,7,AA,3,1052.0,-8.0,1405.0,-25.0
30,2,3,1,AA,3,1053.0,-7.0,1400.0,-30.0
31,2,4,2,AA,3,1455.0,235.0,1818.0,228.0
