,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum
0,2025,1,2,1,6,2025-02-01,AA,19805,AA,N108NN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0654,-5.00,0.00,0.00,-1,0600-0659,19.00,0713,0944,13.00,1028,0957,-31.00,0.00,0.00,-2,1000-1059,0.00,,0.00,389.00,363.00,331.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
1,2025,1,2,2,7,2025-02-02,AA,19805,AA,N110AN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0654,-5.00,0.00,0.00,-1,0600-0659,20.00,0714,1012,10.00,1028,1022,-6.00,0.00,0.00,-1,1000-1059,0.00,,0.00,389.00,388.00,358.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
2,2025,1,2,3,1,2025-02-03,AA,19805,AA,N112AN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0650,-9.00,0.00,0.00,-1,0600-0659,14.00,0704,0950,7.00,1028,0957,-31.00,0.00,0.00,-2,1000-1059,0.00,,0.00,389.00,367.00,346.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
3,2025,1,2,4,2,2025-02-04,AA,19805,AA,N109NN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0658,-1.00,0.00,0.00,-1,0600-0659,22.00,0720,1007,7.00,1028,1014,-14.00,0.00,0.00,-1,1000-1059,0.00,,0.00,389.00,376.00,347.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
4,2025,1,2,5,3,2025-02-05,AA,19805,AA,N102NN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0648,-11.00,0.00,0.00,-1,0600-0659,28.00,0716,1044,10.00,1028,1054,26.00,26.00,1.00,1,1000-1059,0.00,,0.00,389.00,426.00,388.00,1.00,2475.00,10,0.00,0.00,26.00,0.00,0.00,,,,0,,,,,,,,,,,,
5,2025,1,2,6,4,2025-02-06,AA,19805,AA,N103NN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0650,-9.00,0.00,0.00,-1,0600-0659,48.00,0738,1111,7.00,1028,1118,50.00,50.00,1.00,3,1000-1059,0.00,,0.00,389.00,448.00,393.00,1.00,2475.00,10,0.00,0.00,50.00,0.00,0.00,,,,0,,,,,,,,,,,,
6,2025,1,2,7,5,2025-02-07,AA,19805,AA,N110AN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0649,-10.00,0.00,0.00,-1,0600-0659,18.00,0707,1025,11.00,1028,1036,8.00,8.00,0.00,0,1000-1059,0.00,,0.00,389.00,407.00,378.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
7,2025,1,2,8,6,2025-02-08,AA,19805,AA,N108NN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0648,-11.00,0.00,0.00,-1,0600-0659,17.00,0705,1003,5.00,1028,1008,-20.00,0.00,0.00,-2,1000-1059,0.00,,0.00,389.00,380.00,358.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
8,2025,1,2,9,7,2025-02-09,AA,19805,AA,N110AN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,,,,,,0600-0659,,,,,1028,,,,,,1000-1059,1.00,B,0.00,389.00,,,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
9,2025,1,2,10,1,2025-02-10,AA,19805,AA,N107NN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0732,33.00,33.00,1.00,2,0600-0659,19.00,0751,1122,5.00,1028,1127,59.00,59.00,1.00,3,1000-1059,0.00,,0.00,389.00,415.00,391.00,1.00,2475.00,10,33.00,0.00,26.00,0.00,0.00,,,,0,,,,,,,,,,,,
10,2025,1,2,11,2,2025-02-11,AA,19805,AA,N116AN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0655,-4.00,0.00,0.00,-1,0600-0659,19.00,0714,1052,9.00,1028,1101,33.00,33.00,1.00,2,1000-1059,0.00,,0.00,389.00,426.00,398.00,1.00,2475.00,10,0.00,0.00,33.00,0.00,0.00,,,,0,,,,,,,,,,,,
11,2025,1,2,12,3,2025-02-12,AA,19805,AA,N117AN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0655,-4.00,0.00,0.00,-1,0600-0659,45.00,0740,1120,15.00,1028,1135,67.00,67.00,1.00,4,1000-1059,0.00,,0.00,389.00,460.00,400.00,1.00,2475.00,10,0.00,0.00,67.00,0.00,0.00,,,,0,,,,,,,,,,,,
12,2025,1,2,13,4,2025-02-13,AA,19805,AA,N108NN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0654,-5.00,0.00,0.00,-1,0600-0659,22.00,0716,1016,5.00,1028,1021,-7.00,0.00,0.00,-1,1000-1059,0.00,,0.00,389.00,387.00,360.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
13,2025,1,2,14,5,2025-02-14,AA,19805,AA,N116AN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0653,-6.00,0.00,0.00,-1,0600-0659,27.00,0720,1017,6.00,1028,1023,-5.00,0.00,0.00,-1,1000-1059,0.00,,0.00,389.00,390.00,357.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
14,2025,1,2,15,6,2025-02-15,AA,19805,AA,N111ZM,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0655,-4.00,0.00,0.00,-1,0600-0659,16.00,0711,1007,15.00,1028,1022,-6.00,0.00,0.00,-1,1000-1059,0.00,,0.00,389.00,387.00,356.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
15,2025,1,2,16,7,2025-02-16,AA,19805,AA,N107NN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0700,1.00,1.00,0.00,0,0600-0659,33.00,0733,1038,4.00,1028,1042,14.00,14.00,0.00,0,1000-1059,0.00,,0.00,389.00,402.00,365.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
16,2025,1,2,17,1,2025-02-17,AA,19805,AA,N104NN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0654,-5.00,0.00,0.00,-1,0600-0659,22.00,0716,1100,5.00,1028,1105,37.00,37.00,1.00,2,1000-1059,0.00,,0.00,389.00,431.00,404.00,1.00,2475.00,10,0.00,0.00,37.00,0.00,0.00,,,,0,,,,,,,,,,,,
17,2025,1,2,18,2,2025-02-18,AA,19805,AA,N108NN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0656,-3.00,0.00,0.00,-1,0600-0659,33.00,0729,1028,8.00,1028,1036,8.00,8.00,0.00,0,1000-1059,0.00,,0.00,389.00,400.00,359.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
18,2025,1,2,19,3,2025-02-19,AA,19805,AA,N106NN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0652,-7.00,0.00,0.00,-1,0600-0659,18.00,0710,1015,5.00,1028,1020,-8.00,0.00,0.00,-1,1000-1059,0.00,,0.00,389.00,388.00,365.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
19,2025,1,2,20,4,2025-02-20,AA,19805,AA,N116AN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0655,-4.00,0.00,0.00,-1,0600-0659,20.00,0715,1011,7.00,1028,1018,-10.00,0.00,0.00,-1,1000-1059,0.00,,0.00,389.00,383.00,356.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
20,2025,1,2,21,5,2025-02-21,AA,19805,AA,N106NN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0655,-4.00,0.00,0.00,-1,0600-0659,19.00,0714,0942,4.00,1028,0946,-42.00,0.00,0.00,-2,1000-1059,0.00,,0.00,389.00,351.00,328.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
21,2025,1,2,22,6,2025-02-22,AA,19805,AA,N105NN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0658,-1.00,0.00,0.00,-1,0600-0659,18.00,0716,0943,8.00,1028,0951,-37.00,0.00,0.00,-2,1000-1059,0.00,,0.00,389.00,353.00,327.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
22,2025,1,2,23,7,2025-02-23,AA,19805,AA,N106NN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0654,-5.00,0.00,0.00,-1,0600-0659,21.00,0715,0935,13.00,1028,0948,-40.00,0.00,0.00,-2,1000-1059,0.00,,0.00,389.00,354.00,320.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
23,2025,1,2,24,1,2025-02-24,AA,19805,AA,N112AN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0647,-12.00,0.00,0.00,-1,0600-0659,18.00,0705,0929,17.00,1028,0946,-42.00,0.00,0.00,-2,1000-1059,0.00,,0.00,389.00,359.00,324.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
24,2025,1,2,25,2,2025-02-25,AA,19805,AA,N116AN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0658,-1.00,0.00,0.00,-1,0600-0659,26.00,0724,1001,9.00,1028,1010,-18.00,0.00,0.00,-2,1000-1059,0.00,,0.00,389.00,372.00,337.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
25,2025,1,2,26,3,2025-02-26,AA,19805,AA,N102NN,1,12478,1247805,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289208,32575,LAX,"Los Angeles, CA",CA,06,California,91,0659,0704,5.00,5.00,0.00,0,0600-0659,21.00,0725,1009,13.00,1028,1022,-6.00,0.00,0.00,-1,1000-1059,0.00,,0.00,389.00,378.00,344.00,1.00,2475.00,10,,,,,,,,,0,,,,,,,,,,,,
