id,second_name,team_name,element_type,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,bps,form,ict_index,next5_avg_difficulty,position,predicted_form,form_diff
1,Raya Martín,Arsenal,1,59,53,990,0,0,7,210,4.8,16.9,3.0,GK,4.937463719680958,0.13746371968095783
2,Arrizabalaga Revuelta,Arsenal,1,42,0,0,0,0,0,0,0.0,0.0,3.0,GK,-0.010210459355186496,-0.010210459355186496
3,Hein,Arsenal,1,40,0,0,0,0,0,0,0.0,0.0,3.0,GK,-0.010210459355186496,-0.010210459355186496
4,Setford,Arsenal,1,40,0,0,0,0,0,0,0.0,0.0,3.0,GK,-0.010210459355186496,-0.010210459355186496
5,dos Santos Magalhães,Arsenal,2,66,81,990,1,2,7,278,8.5,46.8,3.0,DEF,8.543363421129902,0.04336342112990188
6,Saliba,Arsenal,2,60,39,724,0,0,5,177,3.5,21.8,3.0,DEF,3.941876898798322,0.44187689879832215
7,Calafiori,Arsenal,2,58,61,856,1,2,7,213,4.8,41.9,3.0,DEF,4.943381216199132,0.14338121619913213
8,Timber,Arsenal,2,61,67,881,2,2,6,257,4.8,63.5,3.0,DEF,5.939102525638997,1.1391025256389975
9,Kiwior,Arsenal,2,54,0,0,0,0,0,0,0.0,0.0,3.0,DEF,-0.010210459355186496,-0.010210459355186496
10,Lewis-Skelly,Arsenal,2,52,6,86,0,0,0,19,0.5,2.0,3.0,DEF,0.5883520301894756,0.08835203018947557
11,White,Arsenal,2,53,6,70,0,0,1,23,0.0,2.8,3.0,DEF,-0.010210459355186496,-0.010210459355186496
13,Clarke,Arsenal,2,39,0,0,0,0,0,0,0.0,0.0,3.0,DEF,-0.010210459355186496,-0.010210459355186496
14,Kacurri,Arsenal,2,39,0,0,0,0,0,0,0.0,0.0,3.0,DEF,-0.010210459355186496,-0.010210459355186496
15,Nichols,Arsenal,2,39,0,0,0,0,0,0,0.0,0.0,3.0,DEF,-0.010210459355186496,-0.010210459355186496
16,Saka,Arsenal,3,101,45,681,3,0,5,154,6.2,68.0,3.0,MID,6.543448023144604,0.343448023144604
17,Ødegaard,Arsenal,3,78,13,201,0,1,1,47,0.0,13.0,3.0,MID,0.18621713367671555,0.18621713367671555
18,Madueke,Arsenal,3,68,10,304,0,0,2,39,0.0,24.6,3.0,MID,-0.010210459355186496,-0.010210459355186496
19,Martinelli Silva,Arsenal,3,68,16,214,1,0,1,56,0.5,17.5,3.0,MID,0.5848553277014631,0.08485532770146309
20,Trossard,Arsenal,3,69,40,642,2,2,4,137,7.0,47.8,3.0,MID,6.142926989318619,-0.8570730106813809
21,Rice,Arsenal,3,68,65,893,2,4,6,254,6.2,69.1,3.0,MID,7.143893352490503,0.9438933524905027
22,Merino Zazón,Arsenal,3,59,23,413,1,1,2,79,2.0,25.2,3.0,MID,1.7682624739532002,-0.23173752604679976
23,Ferreira Vieira,Arsenal,3,54,0,0,0,0,0,0,0.0,0.0,3.0,MID,-0.010210459355186496,-0.010210459355186496
24,Nørgaard,Arsenal,3,52,2,14,0,0,0,7,0.5,1.4,3.0,MID,0.38856222322679246,-0.11143777677320754
25,Nwaneri,Arsenal,3,52,7,163,0,0,1,17,0.2,5.4,3.0,MID,0.38600694063939867,0.18600694063939865
26,Zubimendi Ibáñez,Arsenal,3,54,47,937,2,1,7,201,3.8,45.5,3.0,MID,3.5410868878578743,-0.25891311214212553
28,Kabia,Arsenal,3,45,0,0,0,0,0,0,0.0,0.0,3.0,MID,-0.010210459355186496,-0.010210459355186496
29,Sambi Lokonga,Arsenal,3,45,0,0,0,0,0,0,0.0,0.0,3.0,MID,-0.010210459355186496,-0.010210459355186496
30,Havertz,Arsenal,4,73,1,30,0,0,0,4,0.0,0.6,3.0,FWD,-0.010210459355186496,-0.010210459355186496
31,Fernando de Jesus,Arsenal,4,64,0,0,0,0,0,0,0.0,0.0,3.0,FWD,-0.010210459355186496,-0.010210459355186496
266,Eze,Arsenal,3,76,41,700,1,3,6,146,4.8,43.4,3.0,MID,4.94633996445822,0.14633996445822017
662,Mosquera,Arsenal,2,54,14,294,0,0,1,64,0.5,9.0,3.0,DEF,0.3841241008381613,-0.11587589916183871
666,Gyökeres,Arsenal,4,89,37,801,4,0,5,143,2.8,57.7,3.0,FWD,2.551686540607877,-0.24831345939212301
700,Dowman,Arsenal,3,43,5,27,0,1,0,13,0.0,2.8,3.0,MID,-0.010210459355186496,-0.010210459355186496
711,Harriman-Annous,Arsenal,3,45,0,0,0,0,0,0,0.0,0.0,3.0,MID,-0.010210459355186496,-0.010210459355186496
725,Hincapié,Arsenal,2,54,2,26,0,0,0,7,0.5,0.1,3.0,DEF,0.38694836054001747,-0.11305163945998253
32,Martínez Romero,Aston Villa,1,50,26,720,0,0,2,122,2.8,14.1,3.0,GK,2.345306794340862,-0.45469320565913796
33,Bizot,Aston Villa,1,43,7,180,0,0,1,22,0.0,2.6,3.0,GK,-0.010210459355186496,-0.010210459355186496
34,Gauci,Aston Villa,1,40,0,0,0,0,0,0,0.0,0.0,3.0,GK,-0.010210459355186496,-0.010210459355186496
35,Marschall,Aston Villa,1,40,0,0,0,0,0,0,0.0,0.0,3.0,GK,-0.010210459355186496,-0.010210459355186496
36,Cash,Aston Villa,2,46,46,876,2,0,3,158,4.2,40.9,3.0,DEF,3.748542542582738,-0.4514574574172623
37,Digne,Aston Villa,2,45,33,727,0,2,3,141,3.0,35.3,3.0,DEF,2.549669212249408,-0.450330787750592
38,Konsa Ngoyo,Aston Villa,2,44,27,785,0,0,3,143,2.8,22.0,3.0,DEF,2.5456345555324704,-0.2543654444675294
39,Maatsen,Aston Villa,2,43,6,169,0,0,0,33,0.8,15.1,3.0,DEF,0.7873349058087715,-0.012665094191228521
40,Mings,Aston Villa,2,44,24,497,0,0,2,87,0.2,19.0,3.0,DEF,0.18796548492072174,-0.012034515079278274
41,Torres,Aston Villa,2,43,19,507,0,0,1,93,2.8,14.6,3.0,DEF,2.9485763833886183,0.14857638338861845
42,García,Aston Villa,2,39,0,0,0,0,0,0,0.0,0.0,3.0,DEF,-0.010210459355186496,-0.010210459355186496
43,Moreno Lopera,Aston Villa,2,40,0,0,0,0,0,0,0.0,0.0,3.0,DEF,-0.010210459355186496,-0.010210459355186496
44,Bogarde,Aston Villa,2,40,15,282,0,0,1,47,0.0,5.7,3.0,DEF,0.3784755814344488,0.3784755814344488
45,da Cruz Sousa,Aston Villa,2,39,0,0,0,0,0,0,0.0,0.0,3.0,DEF,-0.010210459355186496,-0.010210459355186496
46,Özcan,Aston Villa,2,40,0,0,0,0,0,0,0.0,0.0,3.0,DEF,-0.010210459355186496,-0.010210459355186496
47,Rogers,Aston Villa,3,68,33,891,1,2,3,114,2.8,43.7,3.0,MID,3.146617839107295,0.3466178391072954
48,Tielemans,Aston Villa,3,59,8,315,0,0,1,46,0.0,13.8,3.0,MID,-0.010210459355186496,-0.010210459355186496
49,Bailey,Aston Villa,3,55,0,0,0,0,0,0,0.0,0.0,3.0,MID,-0.010210459355186496,-0.010210459355186496
50,Buendía Stati,Aston Villa,3,53,28,365,2,2,1,88,2.8,31.5,3.0,MID,2.1812909436016916,-0.6187090563983082
51,Iling-Junior,Aston Villa,3,55,0,0,0,0,0,0,0.0,0.0,3.0,MID,-0.010210459355186496,-0.010210459355186496
53,Malen,Aston Villa,3,51,26,323,2,0,0,71,1.0,21.7,3.0,MID,3.7720780400982066,2.7720780400982066
54,McGinn,Aston Villa,3,54,27,767,1,0,4,128,1.5,33.2,3.0,MID,1.7541411754439191,0.2541411754439191
55,Barkley,Aston Villa,3,48,4,61,0,0,0,12,0.8,4.7,3.0,MID,0.7828967834201404,-0.017103216579859692
56,Barrenechea,Aston Villa,3,50,0,0,0,0,0,0,0.0,0.0,3.0,MID,-0.010210459355186496,-0.010210459355186496
57,Dobbin,Aston Villa,3,50,0,0,0,0,0,0,0.0,0.0,3.0,MID,-0.010210459355186496,-0.010210459355186496
58,Kamara,Aston Villa,3,49,21,564,0,2,2,118,1.5,25.2,3.0,MID,2.144979033149254,0.6449790331492542
59,Onana,Aston Villa,3,48,15,415,0,0,2,78,2.0,14.9,3.0,MID,1.7575033893747003,-0.2424966106252997
60,Broggio,Aston Villa,3,45,0,0,0,0,0,0,0.0,0.0,3.0,MID,-0.010210459355186496,-0.010210459355186496
61,Dendoncker,Aston Villa,3,45,0,0,0,0,0,0,0.0,0.0,3.0,MID,-0.010210459355186496,-0.010210459355186496
62,Jimoh-Aloba,Aston Villa,3,45,0,0,0,0,0,0,0.0,0.0,3.0,MID,-0.010210459355186496,-0.010210459355186496
63,Young,Aston Villa,3,44,0,0,0,0,0,0,0.0,0.0,3.0,MID,-0.010210459355186496,-0.010210459355186496
64,Watkins,Aston Villa,4,85,25,786,1,0,4,78,1.2,33.0,3.0,FWD,1.3579237754493336,0.15792377544933367
65,Redmond,Aston Villa,4,45,0,0,0,0,0,0,0.0,0.0,3.0,FWD,-0.010210459355186496,-0.010210459355186496
389,Elliott,Aston Villa,3,54,4,97,0,0,0,13,0.0,4.4,3.0,MID,-0.010210459355186496,-0.010210459355186496
456,Sancho,Aston Villa,3,58,3,68,0,0,0,7,0.5,9.6,3.0,MID,0.3823757495941551,-0.1176242504058449
677,Guessand,Aston Villa,3,63,13,416,0,0,1,40,1.0,13.3,3.0,MID,0.9703136431175485,-0.02968635688245147
688,Wright,Aston Villa,1,40,0,0,0,0,0,0,0.0,0.0,3.0,GK,-0.010210459355186496,-0.010210459355186496
701,Rowe,Aston Villa,2,40,0,0,0,0,0,0,0.0,0.0,3.0,DEF,-0.010210459355186496,-0.010210459355186496
702,Burrowes,Aston Villa,3,45,1,16,0,0,0,3,0.0,0.0,3.0,MID,-0.010210459355186496,-0.010210459355186496
703,Proctor,Aston Villa,1,40,0,0,0,0,0,0,0.0,0.0,3.0,GK,-0.010210459355186496,-0.010210459355186496
710,Patterson,Aston Villa,2,39,0,0,0,0,0,0,0.0,0.0,3.0,DEF,-0.010210459355186496,-0.010210459355186496
719,Lindelöf,Aston Villa,2,45,3,21,0,0,0,9,0.0,0.4,3.0,DEF,0.18931037049303423,0.18931037049303423
183,Weiß,Burnley,1,44,0,0,0,0,0,0,0.0,0.0,3.0,GK,-0.010210459355186496,-0.010210459355186496
184,Green,Burnley,1,40,0,0,0,0,0,0,0.0,0.0,3.0,GK,-0.010210459355186496,-0.010210459355186496
185,Hladký,Burnley,1,40,0,0,0,0,0,0,0.0,0.0,3.0,GK,-0.010210459355186496,-0.010210459355186496
186,Roberts,Burnley,2,44,0,0,0,0,0,0,0.0,0.0,3.0,DEF,-0.010210459355186496,-0.010210459355186496
187,Walker,Burnley,2,44,29,990,0,1,2,83,4.5,25.6,3.0,DEF,3.7354971525313068,-0.7645028474686932
188,Delcroix,Burnley,2,39,0,0,0,0,0,0,0.0,0.0,3.0,DEF,-0.010210459355186496,-0.010210459355186496
189,Dodgson,Burnley,2,40,0,0,0,0,0,0,0.0,0.0,3.0,DEF,-0.010210459355186496,-0.010210459355186496
190,Ekdal,Burnley,2,40,20,533,0,0,1,47,0.2,21.7,3.0,DEF,0.18998281327919053,-0.010017186720809479
191,Estève,Burnley,2,40,28,982,0,0,2,88,3.2,29.6,3.0,DEF,2.7338583465732658,-0.4661416534267344
192,Hartman,Burnley,2,40,36,977,0,4,2,134,3.8,45.4,3.0,DEF,3.7368420381036196,-0.06315796189638023
193,Humphreys,Burnley,2,40,0,2,0,0,0,-5,0.0,0.0,3.0,DEF,-0.010210459355186496,-0.010210459355186496
194,Beyer,Burnley,2,40,0,0,0,0,0,0,0.0,0.0,3.0,DEF,-0.010210459355186496,-0.010210459355186496
195,Pires Silva,Burnley,2,39,1,9,0,0,0,1,0.2,1.9,3.0,DEF,0.18890690482134054,-0.011093095178659473
196,Sambo,Burnley,2,40,0,0,0,0,0,0,0.0,0.0,3.0,DEF,-0.010210459355186496,-0.010210459355186496
197,Sonne,Burnley,2,39,3,102,0,0,0,-2,0.0,3.0,3.0,DEF,-0.010210459355186496,-0.010210459355186496
198,Tuanzebe,Burnley,2,39,16,450,0,0,1,58,3.8,12.0,3.0,DEF,3.134513868956483,-0.665486131043517
199,Worrall,Burnley,2,39,4,19,0,0,0,9,0.0,1.2,3.0,DEF,0.18998281327919053,0.18998281327919053
200,Anthony,Burnley,3,57,49,886,4,1,3,166,2.0,59.2,3.0,MID,1.7447269764377316,-0.25527302356226844
201,Benson Hedilazio,Burnley,3,54,0,0,0,0,0,0,0.0,0.0,3.0,MID,-0.010210459355186496,-0.010210459355186496
202,Bruun Larsen,Burnley,3,53,16,411,0,1,1,47,1.2,17.1,3.0,MID,1.1639169764475943,-0.03608302355240567
203,Agyei,Burnley,3,48,0,0,0,0,0,0,0.0,0.0,3.0,MID,-0.010210459355186496,-0.010210459355186496
204,Churlinov,Burnley,3,49,0,0,0,0,0,0,0.0,0.0,3.0,MID,-0.010210459355186496,-0.010210459355186496
205,Cullen,Burnley,3,50,53,941,2,1,3,222,4.0,50.1,3.0,MID,4.337690833121215,0.33769083312121495
206,Edwards,Burnley,3,47,3,22,0,0,0,8,0.5,2.6,3.0,MID,0.38815875755509865,-0.11184124244490135
207,Mejbri,Burnley,3,48,21,287,0,2,1,75,2.2,12.2,3.0,MID,1.7872253605228061,-0.41277463947719406
208,Koleosho,Burnley,3,50,0,0,0,0,0,0,0.0,0.0,3.0,MID,-0.010210459355186496,-0.010210459355186496
209,Laurent,Burnley,3,49,15,557,0,0,0,74,1.0,12.9,3.0,MID,1.1662032819205255,0.16620328192052547
210,Tchaouna,Burnley,3,49,22,435,1,1,1,76,2.2,13.8,3.0,MID,1.9683212580303455,-0.23167874196965466
211,Ramsey,Burnley,3,44,0,0,0,0,0,0,0.0,0.0,3.0,MID,-0.010210459355186496,-0.010210459355186496
212,Adewumi,Burnley,3,45,0,0,0,0,0,0,0.0,0.0,3.0,MID,-0.010210459355186496,-0.010210459355186496
