year,player,surface,matches_tot,matches_w,perc_2nd_overall,perc_2nd_w,margin_2nd_w,matches_2nd_w
1991,Martin Wostenholme,Clay,5,1,10.0,12.0,1.0,0
1991,Martin Wostenholme,Grass,3,2,6.0,7.5,-8.0,0
1991,Martin Wostenholme,Hard,7,3,12.142857142857142,12.333333333333334,1.333333333333334,0
1991,Jared Palmer,Grass,2,1,11.5,12.0,0.0,0
1991,Jared Palmer,Hard,2,0,,,,0
1991,Jimmy Connors,Carpet,6,2,9.666666666666666,11.0,0.0,0
1991,Jimmy Connors,Clay,4,2,21.5,31.0,12.0,1
1991,Jimmy Connors,Grass,3,2,14.0,12.0,4.5,0
1991,Jimmy Connors,Hard,20,13,14.95,16.846153846153847,0.1538461538461533,2
1991,Martin Laurendeau,Carpet,1,0,,,,0
1991,Martin Laurendeau,Grass,4,2,19.5,20.0,-13.0,0
1991,Martin Laurendeau,Hard,6,2,18.166666666666668,22.0,8.5,1
1991,Christian Collange,Hard,1,0,,,,0
1991,Eduardo Furusho,Carpet,1,0,,,,0
1991,Eduardo Furusho,Hard,1,0,,,,0
1991,Abdelhak Hameurlaine,Clay,2,1,,,,0
1991,Sasa Hirszon,Clay,1,0,,,,0
1991,Francisco Montana,Carpet,3,2,7.666666666666667,8.0,-0.5,0
1991,Francisco Montana,Grass,1,0,,,,0
1991,Francisco Montana,Hard,1,0,,,,0
1991,Karsten Braasch,Clay,3,1,15.333333333333334,21.0,2.0,0
1991,Karsten Braasch,Hard,2,1,18.0,17.0,11.0,0
1991,Danie Visser,Carpet,1,0,,,,0
1991,Danie Visser,Hard,2,1,15.5,24.0,-1.0,0
1991,Mario Delgado,Hard,1,0,,,,0
1991,Olivier Soules,Clay,1,0,,,,0
1991,Bartlomiej Dabrowski,Clay,1,0,,,,0
1991,Jia Ping Xia,Hard,2,1,,,,0
1991,Chris Pridham,Carpet,1,0,,,,0
1991,Chris Pridham,Grass,1,0,,,,0
1991,Chris Pridham,Hard,6,3,17.166666666666668,18.666666666666668,6.000000000000002,2
1991,Bernd Karbacher,Clay,1,0,,,,0
1991,Shovon Jamaly,Hard,4,1,,,,0
1991,Steve Devries,Carpet,1,0,,,,0
1991,Steve Devries,Hard,3,1,11.333333333333334,10.0,-4.0,0
1991,Tamer El Sawy,Clay,3,3,,,,0
1991,Tamer El Sawy,Hard,2,1,,,,0
1991,Javier Sanchez,Carpet,7,5,16.142857142857142,15.6,-2.799999999999999,0
1991,Javier Sanchez,Clay,32,18,12.807692307692308,12.0,1.666666666666666,1
1991,Javier Sanchez,Grass,2,1,10.0,11.0,-11.0,0
1991,Javier Sanchez,Hard,23,12,13.189723320158103,13.363636363636363,-0.3636363636363633,0
1991,Hugo Nunez,Hard,2,1,,,,0
1991,Jeremy Bates,Carpet,2,1,24.0,26.0,6.0,1
1991,Jeremy Bates,Clay,2,1,,,,0
1991,Jeremy Bates,Grass,8,4,15.333333333333332,12.666666666666666,1.0,1
1991,Jeremy Bates,Hard,1,0,,,,0
1991,Tj Middleton,Clay,1,0,,,,0
1991,Tj Middleton,Hard,1,0,,,,0
1991,Dan Goldie,Carpet,4,2,21.75,25.0,-6.5,0
1991,Dan Goldie,Grass,3,0,,,,0
1991,Dan Goldie,Hard,16,6,19.5,23.166666666666668,4.666666666666668,1
1991,Andrew Castle,Grass,3,0,,,,0
1991,Andrew Castle,Hard,4,1,14.25,14.0,-5.0,0
1991,Thomas Enqvist,Carpet,2,0,,,,0
1991,Thomas Enqvist,Clay,1,0,,,,0
1991,Thomas Enqvist,Hard,3,1,25.0,18.0,11.0,1
1991,Lars Jonsson,Carpet,5,2,12.6,10.5,-1.5,0
1991,Lars Jonsson,Clay,19,10,9.163742690058479,9.11111111111111,0.11111111111111072,1
1991,Lars Jonsson,Grass,2,1,18.5,25.0,7.0,0
1991,Lars Jonsson,Hard,13,8,16.76923076923077,16.625,-0.625,2
1991,Fernando Roese,Carpet,2,1,17.0,15.0,7.0,0
1991,Fernando Roese,Grass,2,0,,,,0
1991,Fernando Roese,Hard,12,7,12.166666666666666,13.285714285714286,1.7142857142857153,1
1991,Noel Rutherford,Hard,2,0,,,,0
1991,David Rikl,Carpet,1,0,,,,0
1991,David Rikl,Clay,1,0,,,,0
1991,David Rikl,Hard,2,1,16.0,14.0,-7.0,0
1991,Lionel Kemajou,Clay,2,1,,,,0
1991,Sergi Bruguera,Carpet,11,6,13.454545454545455,16.0,0.5,2
1991,Sergi Bruguera,Clay,47,38,12.86107634543179,13.617647058823529,3.117647058823529,5
1991,Sergi Bruguera,Hard,15,7,18.0,19.857142857142858,4.857142857142858,5
1991,Javier Frana,Carpet,7,3,18.857142857142858,14.666666666666666,-0.6666666666666679,0
1991,Javier Frana,Clay,7,5,16.571428571428573,16.0,5.0,1
1991,Javier Frana,Grass,12,9,16.107142857142858,15.142857142857142,1.1428571428571423,2
1991,Javier Frana,Hard,16,8,13.4375,11.25,-0.125,0
1991,Carlos Chavez,Hard,1,0,,,,0
1991,Bryan Shelton,Carpet,4,3,17.75,14.0,-0.6666666666666661,0
1991,Bryan Shelton,Clay,4,2,19.0,16.0,-3.0,0
1991,Bryan Shelton,Grass,6,5,16.166666666666668,17.2,-0.8000000000000007,0
1991,Bryan Shelton,Hard,15,7,16.6,16.857142857142858,0.4285714285714306,1
1991,Ricardo Acioly,Carpet,2,1,9.5,10.0,-3.0,0
