year,player,matches_tot,matches_w,perc_2nd_overall,perc_2nd_w,margin_2nd_w,matches_2nd_w
1991,Martin Wostenholme,15,6,10.266666666666667,10.666666666666666,-1.833333333333334,0
1991,Jared Palmer,4,1,17.5,12.0,0.0,0
1991,Jimmy Connors,33,19,14.31144781144781,16.444444444444443,1.2777777777777768,3
1991,Martin Laurendeau,11,4,19.09090909090909,21.0,-2.25,1
1991,Christian Collange,1,0,,,,0
1991,Eduardo Furusho,2,0,,,,0
1991,Abdelhak Hameurlaine,2,1,,,,0
1991,Sasa Hirszon,1,0,,,,0
1991,Francisco Montana,5,2,14.4,8.0,-0.5,0
1991,Karsten Braasch,5,2,16.4,19.0,6.5,0
1991,Danie Visser,3,1,17.0,24.0,-1.0,0
1991,Mario Delgado,1,0,,,,0
1991,Olivier Soules,1,0,,,,0
1991,Bartlomiej Dabrowski,1,0,,,,0
1991,Jia Ping Xia,2,1,,,,0
1991,Chris Pridham,8,3,15.5,18.666666666666668,6.000000000000002,2
1991,Bernd Karbacher,1,0,,,,0
1991,Shovon Jamaly,4,1,,,,0
1991,Steve Devries,4,1,11.75,10.0,-4.0,0
1991,Tamer El Sawy,5,4,,,,0
1991,Javier Sanchez,64,36,13.211044973544974,12.914285714285715,0.02857142857142847,1
1991,Hugo Nunez,2,1,,,,0
1991,Jeremy Bates,13,6,16.942307692307693,16.0,2.25,2
1991,Tj Middleton,2,0,,,,0
1991,Dan Goldie,23,8,19.869565217391305,23.625,1.875,1
1991,Andrew Castle,7,1,16.0,14.0,-5.0,0
1991,Thomas Enqvist,6,1,20.333333333333332,18.0,11.0,1
1991,Lars Jonsson,39,21,12.450000000000001,13.05,0.0,3
1991,Fernando Roese,16,8,12.6875,13.5,2.375,1
1991,Noel Rutherford,2,0,,,,0
1991,David Rikl,4,1,11.25,14.0,-7.0,0
1991,Lionel Kemajou,2,1,,,,0
1991,Sergi Bruguera,73,51,14.074030894782862,14.851063829787234,3.042553191489363,12
1991,Javier Frana,42,25,15.294949494949492,13.818181818181818,1.1363636363636367,3
1991,Carlos Chavez,1,0,,,,0
1991,Bryan Shelton,29,17,17.0,16.352941176470587,-0.529411764705884,1
1991,Ricardo Acioly,2,1,9.5,10.0,-3.0,0
1991,Thierry Champion,53,24,11.189955336797011,11.956521739130435,-5.130434782608694,1
1991,Tung Yi Kho,3,2,,,,0
1991,Peter Nyborg,3,2,11.333333333333334,11.5,-7.0,0
1991,Claudio Mezzadri,12,5,11.666666666666666,12.4,0.0,2
1991,Milan Srejber,5,2,14.4,20.0,-4.0,0
1991,Christian Saceanu,35,15,16.330827067669173,18.666666666666668,0.0,2
1991,Owen Casey,3,0,,,,0
1991,Olivier Delaitre,30,19,16.647777777777776,17.833333333333332,4.555555555555554,5
1991,Juan Carlos Baguena,2,0,,,,0
1991,Srdan Muskatirovic,2,0,,,,0
1991,Emanuel Couto,1,0,,,,0
1991,Juan Pino,4,3,,,,0
1991,Olli Rahnasto,3,1,,,,0
1991,Sergio Casal,1,0,,,,0
1991,Radomir Vasek,1,0,,,,0
1991,Bertrand Lacombe,2,0,,,,0
1991,Carlos Roberto Paez,2,0,,,,0
1991,Jaime Oncins,44,27,15.95799512987013,16.285714285714285,3.9999999999999982,9
1991,Paul Chamberlin,1,0,,,,0
1991,Shahar Perkiss,1,0,,,,0
1991,Bong Soo Kim,1,0,,,,0
1991,Ricardo Camargo,1,0,,,,0
1991,Manuel Tejada,2,0,,,,0
1991,Andrei Cherkasov,73,42,17.20370113090111,16.794117647058822,2.3823529411764692,7
1991,Bonit Wiryawan,1,0,,,,0
1991,Omer Rashid,2,1,,,,0
1991,Alaaddin Karagoz,4,2,,,,0
1991,Anders Haseth,4,3,,,,0
1991,Emad Abou Hamdeh,2,0,,,,0
1991,Daniel Chavez Morales,2,1,,,,0
1991,Alvaro Jordan,8,7,,,,0
1991,Christo Van Rensburg,29,15,18.185676392572944,18.933333333333334,3.0,4
1991,Michael Walker,7,5,,,,0
1991,Brett Steven,10,1,12.32,17.0,-5.0,0
1991,Lawson Duncan,2,0,,,,0
1991,Bing Pan,2,0,,,,0
1991,Karel Novacek,89,58,17.248351087115132,18.927272727272726,4.58181818181818,22
1991,Cyril Suk,2,0,,,,0
1991,Todd Witsken,28,12,13.923809523809524,15.333333333333334,1.25,2
1991,Jose Antonio Pepe Conde,3,1,9.0,9.0,-3.0,0
