year,tournament,surface,tourney_level,avg_sets_R16,avg_diff_games_R16,avg_tot_games_R16,avg_rank_R16,fave_ratio_R16,avg_sets_QF,avg_diff_games_QF,avg_tot_games_QF,avg_rank_QF,fave_ratio_QF,avg_sets_SF,avg_diff_games_SF,avg_tot_games_SF,avg_rank_SF,fave_ratio_SF,avg_sets_F,avg_diff_games_F,avg_tot_games_F,avg_rank_F,fave_ratio_F
1968,Rome,Clay,M,4.0,6.625,36.875,,0.0,4.0,6.25,38.75,,0.0,3.5,10.0,27.0,,0.0,5.0,6.0,52.0,,0.0
1968,Toronto,Clay,M,3.625,8.5,35.0,,0.0,3.25,5.5,24.5,,0.0,4.0,7.5,34.5,,0.0,3.0,11.0,27.0,,0.0
1968,Cincinnati,Clay,M,2.75,3.0,29.0,,0.0,2.25,5.0,24.0,,0.0,3.0,4.0,35.0,,0.0,3.0,5.0,25.0,,0.0
1968,Roland Garros,Clay,G,3.25,9.5,29.5,,0.0,4.25,7.0,39.5,,0.0,4.0,6.5,36.5,,0.0,4.0,8.0,32.0,,0.0
1968,Wimbledon,Grass,G,3.875,6.375,39.125,,0.0,4.0,7.25,42.75,,0.0,3.5,6.0,44.0,,0.0,3.0,9.0,27.0,,0.0
1968,US Open,Grass,G,4.0,6.0,42.0,,0.0,3.75,7.25,48.25,,0.0,4.0,6.5,44.5,,0.0,5.0,3.0,65.0,,0.0
1968,Australian Chps.,Grass,G,3.5,5.125,36.875,,0.0,4.25,7.5,43.0,,0.0,3.5,6.5,41.5,,0.0,4.0,2.0,46.0,,0.0
1969,Rome,Clay,M,3.75,7.375,33.875,,0.0,3.25,10.5,28.5,,0.0,5.0,5.0,57.0,,0.0,5.0,6.0,48.0,,0.0
1969,Toronto,Clay,M,3.125,8.0,27.0,,0.0,4.75,4.25,45.75,,0.0,4.0,8.0,36.0,,0.0,4.0,8.0,38.0,,0.0
1969,Cincinnati,Clay,M,2.25,4.875,22.125,,0.0,2.25,4.25,22.25,,0.0,2.0,7.0,17.0,,0.0,2.0,9.0,15.0,,0.0
1969,Roland Garros,Clay,G,3.625,7.25,33.75,,0.0,4.5,7.0,45.0,,0.0,3.5,11.0,30.0,,0.0,3.0,7.0,29.0,,0.0
1969,Wimbledon,Grass,G,4.125,3.375,42.125,,0.0,4.0,6.0,42.0,,0.0,4.0,7.0,45.0,,0.0,4.0,4.0,42.0,,0.0
1969,US Open,Grass,G,4.125,7.25,45.0,,0.0,4.0,6.5,49.5,,0.0,4.0,4.5,50.5,,0.0,4.0,11.0,39.0,,0.0
1969,Australian Open,Grass,G,3.375,7.875,33.625,,0.0,4.0,6.75,48.25,,0.0,4.0,5.0,63.0,,0.0,3.0,7.0,31.0,,0.0
1970,Rome,Clay,M,3.625,7.875,35.875,,0.0,4.0,7.0,38.5,,0.0,4.0,5.5,38.5,,0.0,4.0,3.0,39.0,,0.0
1970,Montreal / Toronto,Clay,M,2.25,5.875,20.375,,0.0,2.25,5.5,22.5,,0.0,3.0,2.0,37.0,,0.0,3.0,7.0,25.0,,0.0
1970,Cincinnati,Clay,M,2.5,6.125,22.875,,0.0,2.5,4.25,25.25,,0.0,2.5,8.5,19.5,,0.0,3.0,2.0,46.0,,0.0
1970,Roland Garros,Clay,G,3.875,6.125,37.625,,0.0,4.0,6.75,43.25,,0.0,5.0,2.0,48.0,,0.0,3.0,12.0,24.0,,0.0
1970,Wimbledon,Grass,G,3.625,7.625,37.875,,0.0,3.75,8.25,43.75,,0.0,3.5,9.0,33.0,,0.0,5.0,6.0,46.0,,0.0
1970,US Open,Grass,G,3.875,6.0,39.25,,0.0,3.25,7.25,33.75,,0.0,3.0,9.0,28.0,,0.0,4.0,2.0,40.0,,0.0
1970,Australian Open,Grass,G,3.625,6.0,41.5,,0.0,4.0,5.75,55.25,,0.0,4.5,1.5,31.5,,0.0,3.0,8.0,34.0,,0.0
1970,Masters,Carpet,M,0.0,,,,,0.0,,,,,0.0,,,,,3.0,3.0,29.0,,0.0
1971,Rome,Clay,M,2.625,4.75,24.5,,0.0,2.75,3.5,24.5,,0.0,3.5,8.5,32.5,,0.0,3.0,8.0,30.0,,0.0
1971,Montreal / Toronto,Clay,M,2.125,6.5,18.75,,0.0,2.25,3.5,22.5,,0.0,2.0,5.0,21.0,,0.0,4.0,3.0,43.0,,0.0
1971,Cincinnati,Clay,M,2.25,3.625,22.625,,0.0,2.25,6.5,20.0,,0.0,2.0,7.0,17.0,,0.0,2.0,4.0,22.0,,0.0
1971,Roland Garros,Clay,G,4.125,5.375,40.125,,0.0,4.25,5.5,40.0,,0.0,3.5,7.5,31.5,,0.0,4.0,4.0,42.0,,0.0
1971,Wimbledon,Grass,G,3.75,5.375,40.125,,0.0,3.5,7.0,40.0,,0.0,3.0,11.0,27.0,,0.0,5.0,1.0,49.0,,0.0
1971,US Open,Grass,G,3.25,5.5,30.0,,0.0,3.0,8.75,29.25,,0.0,5.0,0.5,49.5,,0.0,4.0,5.0,39.0,,0.0
1971,Australian Open,Grass,G,4.0,7.0,39.25,,0.0,3.25,7.75,30.25,,0.0,3.0,6.0,32.0,,0.0,3.0,10.0,28.0,,0.0
1971,Masters,Carpet,M,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,
1972,Rome,Clay,M,2.5,5.5,24.5,,0.0,2.5,4.25,24.75,,0.0,3.5,5.5,32.5,,0.0,4.0,9.0,37.0,,0.0
