city,latitude,longitude,elevation
Rome,41.9028,12.4964,21
Milan,45.4642,9.1900,122
Naples,40.8518,14.2681,17
Turin,45.0703,7.6869,239
Palermo,38.1157,13.3615,14
Genoa,44.4056,8.9463,19
Bologna,44.4949,11.3426,54
Florence,43.7696,11.2558,50
Bari,41.1171,16.8719,5
Catania,37.5079,15.0830,19
Venice,45.4408,12.3155,2
Verona,45.4384,10.9916,59
Messina,38.1938,15.5540,12
Padua,45.4064,11.8768,12
Trieste,45.6495,13.7768,2
Taranto,40.4644,17.2470,15
Brescia,45.5416,10.2118,149
Parma,44.8015,10.3279,55
Modena,44.6471,10.9252,34
Reggio Calabria,38.1110,15.6613,21
