,city,year,day,easter_monday,rain_mm,temperature_c
0,Rome,1995,1995-04-13,False,0.0,13.2
1,Rome,1995,1995-04-14,False,23.6,9.8
2,Rome,1995,1995-04-15,False,24.6,6.8
3,Rome,1995,1995-04-16,False,15.2,7.9
4,Rome,1995,1995-04-17,True,0.0,11.4
5,Rome,1995,1995-04-18,False,0.0,13.6
6,Rome,1995,1995-04-19,False,0.0,14.4
7,Rome,1995,1995-04-20,False,0.1,14.5
8,Rome,1996,1996-04-04,False,0.0,8.8
9,Rome,1996,1996-04-05,False,0.1,10.5
10,Rome,1996,1996-04-06,False,0.0,10.9
11,Rome,1996,1996-04-07,False,0.0,12.9
12,Rome,1996,1996-04-08,True,0.0,15.3
13,Rome,1996,1996-04-09,False,0.0,14.1
14,Rome,1996,1996-04-10,False,0.8,13.5
15,Rome,1996,1996-04-11,False,0.0,13.3
16,Rome,1997,1997-03-27,False,0.0,12.2
17,Rome,1997,1997-03-28,False,0.0,13.3
18,Rome,1997,1997-03-29,False,21.4,11.5
19,Rome,1997,1997-03-30,False,0.0,8.5
20,Rome,1997,1997-03-31,True,0.0,8.9
21,Rome,1997,1997-04-01,False,0.0,9.7
22,Rome,1997,1997-04-02,False,0.0,10.2
23,Rome,1997,1997-04-03,False,0.0,12.6
24,Rome,1998,1998-04-09,False,0.0,13.8
25,Rome,1998,1998-04-10,False,11.2,13.5
26,Rome,1998,1998-04-11,False,9.0,12.7
27,Rome,1998,1998-04-12,False,1.8,11.4
28,Rome,1998,1998-04-13,True,8.2,11.0
29,Rome,1998,1998-04-14,False,3.0,10.9
30,Rome,1998,1998-04-15,False,0.0,14.4
31,Rome,1998,1998-04-16,False,18.8,14.7
32,Rome,1999,1999-04-02,False,0.0,13.3
33,Rome,1999,1999-04-03,False,0.0,14.1
34,Rome,1999,1999-04-04,False,0.0,14.3
35,Rome,1999,1999-04-05,True,0.0,13.1
36,Rome,1999,1999-04-06,False,0.0,15.4
37,Rome,1999,1999-04-07,False,0.0,
38,Rome,1999,1999-04-08,False,0.0,12.7
39,Rome,2000,2000-04-20,False,0.0,15.5
40,Rome,2000,2000-04-21,False,0.0,18.9
41,Rome,2000,2000-04-22,False,0.0,16.4
